,category,object,target_position,distractor_1_position,distractor_2_position,distractor_3_position,target_image_file_name,distractor_1_image_file_name,distractor_2_image_file_name,distractor_3_image_file_name,embedding_target,embedding_1,embedding_2,embedding_3,embeddings,distractor_image_files,str_numbers_to_select,distances,quantiles,jump_locations,jump_bounds,selected_distractors,percent_lower_te,percent_higher_te,target_new_name,distractor_1_new_names,distractor_2_new_names,distractor_3_new_names
34,item,candlestick,0,2,3,7,ITE-CAN-00.png,ITE-CAN-02.png,ITE-CAN-04.png,ITE-CAN-07.png,1.0,0.7636750000000001,0.6567000000000001,0.4013,"[1.0, 0.9525, 0.7828, 0.7063, 0.7063, 0.6071, 0.4361, 0.3897, 0.3759, 0.0]","['ITE-CAN-00.png', 'ITE-CAN-01.png', 'ITE-CAN-02.png', 'ITE-CAN-04.png', 'ITE-CAN-03.png', 'ITE-CAN-05.png', 'ITE-CAN-06.png', 'ITE-CAN-07.png', 'ITE-CAN-08.png', 'ITE-CAN-09.png']","['00', '01', '02', '04', '03', '05', '06', '07', '08', '09']","[0.04749999999999999, 0.16969999999999996, 0.07650000000000001, 0.0, 0.09920000000000007, 0.17099999999999999, 0.0464, 0.013799999999999979, 0.3759]","[25, 50, 75]",[],[],['ITE-CAN-00.png' 'ITE-CAN-02.png' 'ITE-CAN-04.png' 'ITE-CAN-07.png'],31.775700934579437,68.22429906542055,ITE-CAN-T00.png,ITE-CAN-D01.png,ITE-CAN-D02.png,ITE-CAN-D03.png
35,vehicle,car_vintage,0,2,4,7,VEH-CAR-00.png,VEH-CAR-02.png,VEH-CAR-04.png,VEH-CAR-07.png,1.0,0.89815,0.8308,0.362,"[1.0, 1.0, 0.8998, 0.8932, 0.8628, 0.7988, 0.7718, 0.2254, 0.1241, 0.0]","['VEH-CAR-00.png', 'VEH-CAR-01.png', 'VEH-CAR-02.png', 'VEH-CAR-03.png', 'VEH-CAR-04.png', 'VEH-CAR-06.png', 'VEH-CAR-05.png', 'VEH-CAR-07.png', 'VEH-CAR-08.png', 'VEH-CAR-09.png']","['00', '01', '02', '03', '04', '06', '05', '07', '08', '09']","[0.0, 0.10019999999999996, 0.00660000000000005, 0.030399999999999983, 0.06400000000000006, 0.026999999999999913, 0.5464, 0.10129999999999999, 0.1241]","[25, 50, 75]",['between 6 and 7'],"[(6, 7)]",['VEH-CAR-00.png' 'VEH-CAR-02.png' 'VEH-CAR-04.png' 'VEH-CAR-07.png'],32.71028037383177,67.28971962616822,VEH-CAR-T00.png,VEH-CAR-D01.png,VEH-CAR-D02.png,VEH-CAR-D03.png
36,building,futuristic_building,0,2,3,7,BUI-FUT-01.png,BUI-FUT-02.png,BUI-FUT-04.png,BUI-FUT-07.png,1.0,0.951225,0.8793500000000001,0.5462,"[1.0, 1.0, 0.9525, 0.9474, 0.9474, 0.8113, 0.6182, 0.5222, 0.1036, 0.0]","['BUI-FUT-01.png', 'BUI-FUT-00.png', 'BUI-FUT-02.png', 'BUI-FUT-04.png', 'BUI-FUT-03.png', 'BUI-FUT-05.png', 'BUI-FUT-06.png', 'BUI-FUT-07.png', 'BUI-FUT-08.png', 'BUI-FUT-09.png']","['01', '00', '02', '04', '03', '05', '06', '07', '08', '09']","[0.0, 0.04749999999999999, 0.005099999999999993, 0.0, 0.1361, 0.19310000000000005, 0.09599999999999997, 0.41859999999999997, 0.1036]","[25, 50, 75]",['between 7 and 8'],"[(7, 8)]",['BUI-FUT-01.png' 'BUI-FUT-02.png' 'BUI-FUT-04.png' 'BUI-FUT-07.png'],33.64485981308411,66.35514018691589,BUI-FUT-T00.png,BUI-FUT-D01.png,BUI-FUT-D02.png,BUI-FUT-D03.png
37,vehicle,rowing_boat,1,3,5,6,VEH-ROW-00.png,VEH-ROW-08.png,VEH-ROW-02.png,VEH-ROW-05.png,0.5817,0.5467,0.4239,0.0421,"[1.0, 0.5817, 0.573, 0.5467, 0.4443, 0.4239, 0.0421, 0.0421, 0.0, 0.0]","['VEH-ROW-09.png', 'VEH-ROW-00.png', 'VEH-ROW-07.png', 'VEH-ROW-08.png', 'VEH-ROW-01.png', 'VEH-ROW-02.png', 'VEH-ROW-05.png', 'VEH-ROW-06.png', 'VEH-ROW-03.png', 'VEH-ROW-04.png']","['09', '00', '07', '08', '01', '02', '05', '06', '03', '04']","[0.4183, 0.008700000000000041, 0.02629999999999999, 0.10239999999999999, 0.020399999999999974, 0.38180000000000003, 0.0, 0.0421, 0.0]","[25, 50, 75]",['between 5 and 6'],"[(5, 6)]",['VEH-ROW-00.png' 'VEH-ROW-08.png' 'VEH-ROW-02.png' 'VEH-ROW-05.png'],34.57943925233645,65.42056074766354,VEH-ROW-T00.png,VEH-ROW-D01.png,VEH-ROW-D02.png,VEH-ROW-D03.png
38,animal,tropical_bird,0,2,4,7,ANI-TRO-00.png,ANI-TRO-02.png,ANI-TRO-04.png,ANI-TRO-07.png,1.0,0.74805,0.6626,0.475975,"[1.0, 0.8504, 0.763, 0.7032, 0.6698, 0.6554, 0.5776, 0.4421, 0.3142, 0.0]","['ANI-TRO-00.png', 'ANI-TRO-01.png', 'ANI-TRO-02.png', 'ANI-TRO-03.png', 'ANI-TRO-04.png', 'ANI-TRO-05.png', 'ANI-TRO-06.png', 'ANI-TRO-07.png', 'ANI-TRO-08.png', 'ANI-TRO-09.png']","['00', '01', '02', '03', '04', '05', '06', '07', '08', '09']","[0.14959999999999996, 0.08740000000000003, 0.059799999999999964, 0.033400000000000096, 0.014399999999999968, 0.07779999999999998, 0.1355, 0.1279, 0.3142]","[25, 50, 75]",[],[],['ANI-TRO-00.png' 'ANI-TRO-02.png' 'ANI-TRO-04.png' 'ANI-TRO-07.png'],35.51401869158878,64.48598130841121,ANI-TRO-T00.png,ANI-TRO-D01.png,ANI-TRO-D02.png,ANI-TRO-D03.png
39,vehicle,jet_plane,1,3,5,7,VEH-JET-02.png,VEH-JET-00.png,VEH-JET-07.png,VEH-JET-03.png,0.3818,0.3753,0.0435,0.0,"[1.0, 0.3818, 0.3818, 0.3753, 0.2315, 0.0435, 0.0001, 0.0, 0.0, 0.0]","['VEH-JET-09.png', 'VEH-JET-02.png', 'VEH-JET-01.png', 'VEH-JET-00.png', 'VEH-JET-08.png', 'VEH-JET-07.png', 'VEH-JET-05.png', 'VEH-JET-03.png', 'VEH-JET-04.png', 'VEH-JET-06.png']","['09', '02', '01', '00', '08', '07', '05', '03', '04', '06']","[0.6182000000000001, 0.0, 0.00649999999999995, 0.1438, 0.188, 0.043399999999999994, 0.0001, 0.0, 0.0]","[25, 50, 75]",[],[],['VEH-JET-02.png' 'VEH-JET-00.png' 'VEH-JET-07.png' 'VEH-JET-03.png'],36.44859813084112,63.55140186915887,VEH-JET-T00.png,VEH-JET-D01.png,VEH-JET-D02.png,VEH-JET-D03.png
40,landscape_element,fjord_pillar,0,1,4,7,LAN-FJO-09.png,LAN-FJO-05.png,LAN-FJO-00.png,LAN-FJO-07.png,1.0,0.943225,0.5766,0.281,"[1.0, 0.9517, 0.9517, 0.9178, 0.5766, 0.5766, 0.5765, 0.1825, 0.0321, 0.0]","['LAN-FJO-09.png', 'LAN-FJO-05.png', 'LAN-FJO-04.png', 'LAN-FJO-03.png', 'LAN-FJO-00.png', 'LAN-FJO-02.png', 'LAN-FJO-01.png', 'LAN-FJO-07.png', 'LAN-FJO-08.png', 'LAN-FJO-06.png']","['09', '05', '04', '03', '00', '02', '01', '07', '08', '06']","[0.04830000000000001, 0.0, 0.03390000000000004, 0.34119999999999995, 0.0, 9.999999999998899e-05, 0.394, 0.1504, 0.0321]","[25, 50, 75]","['between 3 and 4', 'between 6 and 7']","[(3, 4), (6, 7)]",['LAN-FJO-09.png' 'LAN-FJO-05.png' 'LAN-FJO-00.png' 'LAN-FJO-07.png'],37.38317757009346,62.616822429906534,LAN-FJO-T00.png,LAN-FJO-D01.png,LAN-FJO-D02.png,LAN-FJO-D03.png
41,landscape_element,lake_island,0,2,4,7,LAN-LAK-00.png,LAN-LAK-02.png,LAN-LAK-04.png,LAN-LAK-06.png,1.0,0.856525,0.5898,0.2797,"[1.0, 1.0, 0.8956, 0.7393, 0.6517, 0.5279, 0.3139, 0.2683, 0.1423, 0.0]","['LAN-LAK-00.png', 'LAN-LAK-01.png', 'LAN-LAK-02.png', 'LAN-LAK-03.png', 'LAN-LAK-04.png', 'LAN-LAK-05.png', 'LAN-LAK-07.png', 'LAN-LAK-06.png', 'LAN-LAK-08.png', 'LAN-LAK-09.png']","['00', '01', '02', '03', '04', '05', '07', '06', '08', '09']","[0.0, 0.10440000000000005, 0.1563, 0.08760000000000001, 0.12379999999999991, 0.21400000000000002, 0.04560000000000003, 0.12599999999999997, 0.1423]","[25, 50, 75]",[],[],['LAN-LAK-00.png' 'LAN-LAK-02.png' 'LAN-LAK-04.png' 'LAN-LAK-06.png'],38.31775700934579,61.6822429906542,LAN-LAK-T00.png,LAN-LAK-D01.png,LAN-LAK-D02.png,LAN-LAK-D03.png
42,landscape_element,geothermal_spring,0,2,4,7,LAN-GEO-00.png,LAN-GEO-02.png,LAN-GEO-04.png,LAN-GEO-06.png,1.0,0.91625,0.7934,0.423675,"[1.0, 0.9949, 0.9265, 0.8855, 0.8456, 0.7412, 0.4326, 0.4207, 0.3802, 0.0]","['LAN-GEO-00.png', 'LAN-GEO-01.png', 'LAN-GEO-02.png', 'LAN-GEO-03.png', 'LAN-GEO-04.png', 'LAN-GEO-05.png', 'LAN-GEO-07.png', 'LAN-GEO-06.png', 'LAN-GEO-08.png', 'LAN-GEO-09.png']","['00', '01', '02', '03', '04', '05', '07', '06', '08', '09']","[0.005099999999999993, 0.06840000000000002, 0.041000000000000036, 0.039899999999999936, 0.10440000000000005, 0.3086, 0.011899999999999966, 0.040500000000000036, 0.3802]","[25, 50, 75]",['between 5 and 6'],"[(5, 6)]",['LAN-GEO-00.png' 'LAN-GEO-02.png' 'LAN-GEO-04.png' 'LAN-GEO-06.png'],39.25233644859813,60.747663551401864,LAN-GEO-T00.png,LAN-GEO-D01.png,LAN-GEO-D02.png,LAN-GEO-D03.png
43,vehicle,lorry,0,1,3,7,VEH-LOR-05.png,VEH-LOR-04.png,VEH-LOR-00.png,VEH-LOR-07.png,1.0,0.607,0.607,0.38715,"[1.0, 0.9701, 0.607, 0.607, 0.607, 0.607, 0.5172, 0.3438, 0.1063, 0.0]","['VEH-LOR-05.png', 'VEH-LOR-04.png', 'VEH-LOR-01.png', 'VEH-LOR-00.png', 'VEH-LOR-02.png', 'VEH-LOR-03.png', 'VEH-LOR-06.png', 'VEH-LOR-07.png', 'VEH-LOR-08.png', 'VEH-LOR-09.png']","['05', '04', '01', '00', '02', '03', '06', '07', '08', '09']","[0.029900000000000038, 0.3631, 0.0, 0.0, 0.0, 0.08979999999999999, 0.1734, 0.2375, 0.1063]","[25, 50, 75]",['between 1 and 2'],"[(1, 2)]",['VEH-LOR-05.png' 'VEH-LOR-04.png' 'VEH-LOR-00.png' 'VEH-LOR-07.png'],40.18691588785047,59.813084112149525,VEH-LOR-T00.png,VEH-LOR-D01.png,VEH-LOR-D02.png,VEH-LOR-D03.png
